topics,subject,object,label
ambient intelligence; internet of things (iot),ambient intelligence,internet of things (iot),1
peer-to-peer video streaming; p2p,peer-to-peer video streaming,p2p,1
pareto front; antenna accessories,pareto front,antenna accessories,3
neurofuzzy system; neuro-fuzzy approach,neurofuzzy system,neuro-fuzzy approach,2
extensible markup language (xml); xml queries,extensible markup language (xml),xml queries,0
transmit antennas; full rate,transmit antennas,full rate,0
biomedical imaging; computerized tomography,biomedical imaging,computerized tomography,0
peer-to-peer file sharing; p2p network,peer-to-peer file sharing,p2p network,1
multi agent system; intelligent agents,multi agent system,intelligent agents,0
soa system; service architecture,soa system,service architecture,2
natural language processing; spoken dialogue system,natural language processing,spoken dialogue system,0
autonomous agents; multi agent system,autonomous agents,multi agent system,1
field programmable gate arrays; varactor diodes,field programmable gate arrays,varactor diodes,3
particle swarms; evolutionary computation techniques,particle swarms,evolutionary computation techniques,0
long term evolution (lte); long-term evolution,long term evolution (lte),long-term evolution,2
frequent item sets; sparql,frequent item sets,sparql,3
adaptive algorithm; software,adaptive algorithm,software,1
tcp-friendly; ip multicast,tcp-friendly,ip multicast,1
surgical simulation; haptic systems,surgical simulation,haptic systems,1
fcm; fuzzy c-means,fcm,fuzzy c-means,2
haptic feedbacks; haptic feedback,haptic feedbacks,haptic feedback,2
scorm; implementation concerns,scorm,implementation concerns,3
potential fields; utility maximization,potential fields,utility maximization,3
feature model; syntactic features,feature model,syntactic features,3
relational database systems; relational database,relational database systems,relational database,2
cognitive systems; sum-capacity,cognitive systems,sum-capacity,3
maximum entropy models; natural language processing,maximum entropy models,natural language processing,1
energy-constrained; multi objective evolutionary algorithms,energy-constrained,multi objective evolutionary algorithms,3
local optimal solution; particle swarm optimisation,local optimal solution,particle swarm optimisation,1
energy-aware routing; global optimization problems,energy-aware routing,global optimization problems,3
industrial design; conceptual design,industrial design,conceptual design,1
peer-to-peer technologies; p2p applications,peer-to-peer technologies,p2p applications,2
semantic web technologies; ontology creation,semantic web technologies,ontology creation,0
face hallucination; super resolutions,face hallucination,super resolutions,1
multicast protocol; ip multicast,multicast protocol,ip multicast,1
back-propagation neural network; rbfnn,back-propagation neural network,rbfnn,0
fuzzy c mean; fcm,fuzzy c mean,fcm,2
hownet; tag recommendations,hownet,tag recommendations,3
robot control systems; control system,robot control systems,control system,1
bayesian model; bayesian classifier,bayesian model,bayesian classifier,0
backpropagation algorithm; backpropagation algorithms,backpropagation algorithm,backpropagation algorithms,2
lms algorithms; lms algorithm,lms algorithms,lms algorithm,2
software teams; software development projects,software teams,software development projects,1
electronic commerce; b2c,electronic commerce,b2c,0
three dimensional computer graphics; computer imaging and vision,three dimensional computer graphics,computer imaging and vision,1
virtual machine monitor; operating systems,virtual machine monitor,operating systems,1
k-nearest neighbor classifier; nearest neighbor classification,k-nearest neighbor classifier,nearest neighbor classification,2
bayesian models; probabilistic model,bayesian models,probabilistic model,0
tasks scheduling; task duplication,tasks scheduling,task duplication,0
haptic systems; haptic,haptic systems,haptic,2
k-means clustering method; wireless lan,k-means clustering method,wireless lan,3
backpropagation algorithm; bp neural network model,backpropagation algorithm,bp neural network model,0
built-in self test; improved particle swarm optimization,built-in self test,improved particle swarm optimization,3
fitness function; optical filter,fitness function,optical filter,3
fuzzy clustering method; fuzzy c-means algorithm,fuzzy clustering method,fuzzy c-means algorithm,0
overlay networks; sea clutter,overlay networks,sea clutter,3
operating systems; execution environments,operating systems,execution environments,0
distributed program; operating systems,distributed program,operating systems,1
uwb systems; uwb channel,uwb systems,uwb channel,0
electronic services; e-commerce,electronic services,e-commerce,1
gis technology; geographical information system (gis),gis technology,geographical information system (gis),1
brain-computer interfaces (bci); motor imagery,brain-computer interfaces (bci),motor imagery,0
multi-objective optimisation; preference information,multi-objective optimisation,preference information,0
multiagent system; multi-agent,multiagent system,multi-agent,0
frequency reuse; field-programmable gate arrays,frequency reuse,field-programmable gate arrays,3
mac layer; radial basis function(rbf),mac layer,radial basis function(rbf),3
complex adaptive system; wavelet transform,complex adaptive system,wavelet transform,3
formal specifications; search engines,formal specifications,search engines,3
back-propagation neural network; delayed neural networks,back-propagation neural network,delayed neural networks,0
preference information; cac,preference information,cac,3
resource description framework (rdf); cs1,resource description framework (rdf),cs1,3
graphic processing units; general-purpose computing,graphic processing units,general-purpose computing,0
association rule mining; mining association rules,association rule mining,mining association rules,2
uml model; unified modelling language,uml model,unified modelling language,1
microprocessor chips; networks-on-chip,microprocessor chips,networks-on-chip,0
fused images; wheeled mobile robots,fused images,wheeled mobile robots,3
tuning method; pi controller,tuning method,pi controller,1
unified modeling language (uml); computer programming languages,unified modeling language (uml),computer programming languages,1
vehicle density; vehicular ad-hoc networks,vehicle density,vehicular ad-hoc networks,1
computer networks; network architecture,computer networks,network architecture,0
e-commerce systems; information technology,e-commerce systems,information technology,1
bayesian network structure; distributed system,bayesian network structure,distributed system,3
mobile ad hoc networks (manets); computer programming,mobile ad hoc networks (manets),computer programming,3
protein data bank; multiobjective programming,protein data bank,multiobjective programming,3
multicast protocol; multicast routing protocols,multicast protocol,multicast routing protocols,0
magnetostrictive devices; communication channels,magnetostrictive devices,communication channels,1
bayesian classifier; p2p,bayesian classifier,p2p,3
nsga-ii; piezoelectric sensors,nsga-ii,piezoelectric sensors,3
peer-to-peer application; peer-to-peer,peer-to-peer application,peer-to-peer,1
bayesian frameworks; gibbs sampler,bayesian frameworks,gibbs sampler,0
on-line algorithms; on-line algorithm,on-line algorithms,on-line algorithm,2
peer to peer (p2p) network; computer network,peer to peer (p2p) network,computer network,1
space time block codes; space-time block coding,space time block codes,space-time block coding,2
embedded system; compilers,embedded system,compilers,0
radial basis function neural network; rbf neural network,radial basis function neural network,rbf neural network,2
rayleigh fading; multi-path fading channels,rayleigh fading,multi-path fading channels,0
bayesian method; variational bayesian,bayesian method,variational bayesian,0
genetic algorithm; fitness function,genetic algorithm,fitness function,0
adaptive filter; h.264/avc,adaptive filter,h.264/avc,3
latent variable models; bayesian model,latent variable models,bayesian model,1
sysml; unified modeling language (uml),sysml,unified modeling language (uml),1
centrality measure; cloud software architecture,centrality measure,cloud software architecture,3
smart environments; intelligent environment,smart environments,intelligent environment,2
global optimal solutions; particle swarms,global optimal solutions,particle swarms,1
machine learning algorithms; forecasting models,machine learning algorithms,forecasting models,0
east-adl; multiple antennas,east-adl,multiple antennas,3
3rd generation partnership project (3gpp); black-box optimization,3rd generation partnership project (3gpp),black-box optimization,3
rbf neural networks; rbf neural network,rbf neural networks,rbf neural network,2
xml query processing; extensible markup language (xml),xml query processing,extensible markup language (xml),1
model-driven architecture; software development life cycle,model-driven architecture,software development life cycle,1
architecting; architectural analysis,architecting,architectural analysis,0
user interfaces; personal digital assistant,user interfaces,personal digital assistant,0
computer arithmetic; adder,computer arithmetic,adder,1
embedded system design; embedded systems design,embedded system design,embedded systems design,2
cpasa; geographical information system (gis),cpasa,geographical information system (gis),3
context-awareness; fusion image,context-awareness,fusion image,3
support vector machine (svms); gaussian kernels,support vector machine (svms),gaussian kernels,0
p2p systems; bittorrent,p2p systems,bittorrent,0
state-feedback controllers; state feedback controller,state-feedback controllers,state feedback controller,2
optical fiber communication; optical-fiber communications,optical fiber communication,optical-fiber communications,2
decision support systems; clinical decision support system,decision support systems,clinical decision support system,0
architectural knowledge modeling; fusion image,architectural knowledge modeling,fusion image,3
vehicular ad-hoc networks; roadsides,vehicular ad-hoc networks,roadsides,0
electronic publishing; wsns,electronic publishing,wsns,3
network architecture; computer networks,network architecture,computer networks,1
recursive least squares algorithms; rls algorithms,recursive least squares algorithms,rls algorithms,2
microservice architecture; microservices architecture,microservice architecture,microservices architecture,2
de-nosing; de-noising,de-nosing,de-noising,2
extensible markup language; xml schemas,extensible markup language,xml schemas,0
user interfaces; graphical user interfaces,user interfaces,graphical user interfaces,0
peer-to-peer technologies; resource discovery,peer-to-peer technologies,resource discovery,0
sensor; ambient intelligence,sensor,ambient intelligence,0
boosting; t-s fuzzy models,boosting,t-s fuzzy models,3
private keys; broadcast encryption schemes,private keys,broadcast encryption schemes,0
gis; mimo relay,gis,mimo relay,3
cross-language information retrieval; design decisions,cross-language information retrieval,design decisions,3
computer aided diagnosis; biomedical imaging,computer aided diagnosis,biomedical imaging,1
file systems; constant modulus algorithms,file systems,constant modulus algorithms,3
telecommunications industry; telecommunication services,telecommunications industry,telecommunication services,1
neurofuzzy system; ber performance,neurofuzzy system,ber performance,3
privacy issue; privacy concerns,privacy issue,privacy concerns,2
wearable systems; wearable,wearable systems,wearable,1
haptic systems; haptic display,haptic systems,haptic display,0
degree centrality; routing algorithms,degree centrality,routing algorithms,3
human machine interface; computation efficiency,human machine interface,computation efficiency,3
neural network model; cnn,neural network model,cnn,0
crosscutting concerns; cross-cutting concerns,crosscutting concerns,cross-cutting concerns,2
support vector machine; quadratic programming problems,support vector machine,quadratic programming problems,0
peer-to-peer technologies; free-riding,peer-to-peer technologies,free-riding,0
image registration; open source software,image registration,open source software,3
nearest neighbor; clustering algorithm,nearest neighbor,clustering algorithm,1
task graph; tasks scheduling,task graph,tasks scheduling,1
requirement engineering; requirements specifications,requirement engineering,requirements specifications,0
computer aided design (cad); computer-aided design,computer aided design (cad),computer-aided design,2
e-commerce; multiuser diversity,e-commerce,multiuser diversity,3
xml schema; extensible markup language,xml schema,extensible markup language,1
nlp; syntactic analysis,nlp,syntactic analysis,0
bayesian approaches; gibbs samplers,bayesian approaches,gibbs samplers,0
object-oriented programming; computer programming,object-oriented programming,computer programming,1
distributed computer systems; s-boxes,distributed computer systems,s-boxes,3
bayesian model; fiber amplifiers,bayesian model,fiber amplifiers,3
gene location; service-oriented architectures,gene location,service-oriented architectures,3
information theoretic security; information-theoretic security,information theoretic security,information-theoretic security,2
component-based software development; multicasting,component-based software development,multicasting,3
back-propagation neural network; neurofuzzy system,back-propagation neural network,neurofuzzy system,0
hypertext markup language; html5,hypertext markup language,html5,0
imaging systems; de-nosing,imaging systems,de-nosing,0
object oriented programming; multiplexing,object oriented programming,multiplexing,3
nlp; dependency parser,nlp,dependency parser,0
low power consumption; low-power consumption,low power consumption,low-power consumption,2
back-propagation neural networks; neuro-fuzzy systems,back-propagation neural networks,neuro-fuzzy systems,0
commonsense knowledge; commonsense computing,commonsense knowledge,commonsense computing,1
queueing models; queuing model,queueing models,queuing model,2
polarimeter; ship detection,polarimeter,ship detection,0
architectural knowledge modeling; syntactic parsing,architectural knowledge modeling,syntactic parsing,3
multicast trees; multicast groups,multicast trees,multicast groups,2
kernel parameter; support vector machine (svms),kernel parameter,support vector machine (svms),1
computational time; medical image segmentation,computational time,medical image segmentation,3
particle swarm optimization algorithms; particle swarm optimizations,particle swarm optimization algorithms,particle swarm optimizations,2
machine learnings; ilp,machine learnings,ilp,0
frequent item sets; high-quality software,frequent item sets,high-quality software,3
maximal frequent itemsets; radial basis function(rbf),maximal frequent itemsets,radial basis function(rbf),3
queuing theory; queuing networks,queuing theory,queuing networks,0
service composition; service-oriented computing (soc),service composition,service-oriented computing (soc),0
avatar; associative processing,avatar,associative processing,3
online social networks (osns); online social networks,online social networks (osns),online social networks,2
privacy-preserving; privacy preservation,privacy-preserving,privacy preservation,2
binary decision diagrams (bdd); binary decision,binary decision diagrams (bdd),binary decision,0
detection of moving object; object recognition,detection of moving object,object recognition,1
cluster analysis; k-means algorithm,cluster analysis,k-means algorithm,0
c-means; fcm clustering,c-means,fcm clustering,2
software development projects; waterfall,software development projects,waterfall,0
electric fault location; statistical relational learning,electric fault location,statistical relational learning,3
web-mining; search engine,web-mining,search engine,1
malware; reference architecture,malware,reference architecture,3
classifiers; support vector machines,classifiers,support vector machines,0
peer-to-peer streaming; peer-to-peer system,peer-to-peer streaming,peer-to-peer system,1
k-nearest neighbor classifier; k-nn classifier,k-nearest neighbor classifier,k-nn classifier,2
filesystem; dialogue systems,filesystem,dialogue systems,3
particle swarm optimizations; particle swarm optimisation,particle swarm optimizations,particle swarm optimisation,2
xpath; extensible markup language (xml),xpath,extensible markup language (xml),1
decision procedure; decision procedures,decision procedure,decision procedures,2
particle swarm algorithm; particle swarm optimization,particle swarm algorithm,particle swarm optimization,2
probabilistic models; language modeling,probabilistic models,language modeling,3
mobile agent systems; mobile agent technology,mobile agent systems,mobile agent technology,2
public key cryptography; computational linguistics,public key cryptography,computational linguistics,3
smart transport; smart transportation,smart transport,smart transportation,2
multi path routing; multipath routing,multi path routing,multipath routing,2
incentive mechanisms; peer-to-peer,incentive mechanisms,peer-to-peer,1
redundant manipulators; multi-agent system,redundant manipulators,multi-agent system,3
multiprocessors; multi-cores,multiprocessors,multi-cores,1
space-time block codes; space time block codes,space-time block codes,space time block codes,2
software design patterns; pattern language,software design patterns,pattern language,0
electronic commerce; e-commerce,electronic commerce,e-commerce,2
public-key cryptosystem; requirement elicitation,public-key cryptosystem,requirement elicitation,3
disparity maps; stereo images,disparity maps,stereo images,1
adaptive algorithm; radio transmission,adaptive algorithm,radio transmission,3
ip multicast; multicast services,ip multicast,multicast services,0
filter banks; subbands,filter banks,subbands,1
mobile environments; context-aware computing,mobile environments,context-aware computing,3
extensible markup language; electronic document exchange,extensible markup language,electronic document exchange,0
congestion control; computer networks,congestion control,computer networks,1
bayesian approaches; latent variable models,bayesian approaches,latent variable models,0
bayesian models; inference algorithms,bayesian models,inference algorithms,0
analytic network process (anp); rf mems,analytic network process (anp),rf mems,3
autonomous robots; traffic densities,autonomous robots,traffic densities,3
moving object; music genre classification,moving object,music genre classification,3
p2p system; peer-to-peer architectures,p2p system,peer-to-peer architectures,0
moving objects detection; call admission control,moving objects detection,call admission control,3
rbf neural network; radial basis functions,rbf neural network,radial basis functions,2
hybrid particle swarm optimization; particle swarm algorithm,hybrid particle swarm optimization,particle swarm algorithm,1
cognitive radio networks; cognitive radio network (crn),cognitive radio networks,cognitive radio network (crn),2
multicast data; multicast protocols,multicast data,multicast protocols,1
word embedding; word embeddings,word embedding,word embeddings,2
recommendation systems; recommendation system,recommendation systems,recommendation system,2
service-oriented computing (soc); business process,service-oriented computing (soc),business process,1
design concerns; risks decreasing,design concerns,risks decreasing,0
obfuscation; architecture recovery,obfuscation,architecture recovery,1
tara; software architecture assessment,tara,software architecture assessment,1
binary decision diagrams (bdd); decision diagram,binary decision diagrams (bdd),decision diagram,0
neural networks; long short term memory neural networks,neural networks,long short term memory neural networks,0
information and communication technology; information communications technology (ict),information and communication technology,information communications technology (ict),0
software components; software,software components,software,1
database; data streams,database,data streams,0
legacy system; discrete cosine transformation,legacy system,discrete cosine transformation,3
radiofrequency identification; transponder,radiofrequency identification,transponder,0
linux; linux- operating system,linux,linux- operating system,2
localization algorithms; wireless sensor network (wsn),localization algorithms,wireless sensor network (wsn),1
architectural style; service-oriented architectures,architectural style,service-oriented architectures,0
gnutella; multiobjective models,gnutella,multiobjective models,3
service-oriented computing; services composition,service-oriented computing,services composition,1
ls-svm; support vector machines,ls-svm,support vector machines,1
formal methods; communicating sequential processes,formal methods,communicating sequential processes,0
service selection; services composition,service selection,services composition,1
convolutional neural networks; cnn,convolutional neural networks,cnn,2
operating systems; filesystem,operating systems,filesystem,0
call admission control; wave front sensors,call admission control,wave front sensors,3
k-means clustering; task scheduling,k-means clustering,task scheduling,3
business process modeling (bpm); process models,business process modeling (bpm),process models,0
unified modelling language; uml 2.0,unified modelling language,uml 2.0,0
back-propagation neural networks; machine learnings,back-propagation neural networks,machine learnings,1
graphical user interface; user interfaces,graphical user interface,user interfaces,1
sensor; sensor nodes,sensor,sensor nodes,0
commonsense knowledge; common-sense knowledge,commonsense knowledge,common-sense knowledge,2
hypervolume; wearable,hypervolume,wearable,3
large-scale distributed system; p2p,large-scale distributed system,p2p,1
blockchain; fusion rules,blockchain,fusion rules,3
rbac; role-based access control (rbac),rbac,role-based access control (rbac),2
agent based simulation; multiagent system,agent based simulation,multiagent system,1
service-oriented computing (soc); service compositions,service-oriented computing (soc),service compositions,1
mimo-ofdm; planning algorithms,mimo-ofdm,planning algorithms,3
computer aided diagnosis; computer-aided diagnosis (cad),computer aided diagnosis,computer-aided diagnosis (cad),2
classification models; e-book,classification models,e-book,3
bayesian; distributed parameter networks,bayesian,distributed parameter networks,0
linear feedback shift register; lfsr,linear feedback shift register,lfsr,2
p2p; peer-to-peer systems,p2p,peer-to-peer systems,2
collaborative filtering; collaborative recommendation,collaborative filtering,collaborative recommendation,2
bibliographic data; soldered joints,bibliographic data,soldered joints,3
robot applications; mobile robotics,robot applications,mobile robotics,1
adaptive network based fuzzy inference system; anfis,adaptive network based fuzzy inference system,anfis,2
peer selection; peer-to-peer,peer selection,peer-to-peer,1
semantic technology; web ontology language,semantic technology,web ontology language,0
cad; high-level synthesis,cad,high-level synthesis,0
video copy detection; video processing,video copy detection,video processing,1
requirement engineering; requirements traceability,requirement engineering,requirements traceability,0
opportunistic networks; opportunistic network,opportunistic networks,opportunistic network,2
ltl; wearable,ltl,wearable,3
rayleigh fading; uml modeling,rayleigh fading,uml modeling,3
file sharing; p2p network,file sharing,p2p network,1
performance analysis; architecture performance analysis,performance analysis,architecture performance analysis,2
frequent itemset mining; mining association rules,frequent itemset mining,mining association rules,1
multiobjective programming; multihop wireless networks,multiobjective programming,multihop wireless networks,3
networked control systems; networked control system,networked control systems,networked control system,2
wireless lans; wlan,wireless lans,wlan,2
bayesian models; structure-learning,bayesian models,structure-learning,0
knowledge based systems; knowledge management,knowledge based systems,knowledge management,0
minimum mean square error; minimum mean square errors (mmse),minimum mean square error,minimum mean square errors (mmse),2
ahp; judgment matrix,ahp,judgment matrix,0
belief propagation; black hole attack,belief propagation,black hole attack,3
pipelined adc; pipelined adcs,pipelined adc,pipelined adcs,2
nearest neighbor; k-nearest neighbor classifier,nearest neighbor,k-nearest neighbor classifier,0
broadcast channels; broadcast channel,broadcast channels,broadcast channel,2
neural network; robotic arm,neural network,robotic arm,3
pso; hybrid algorithm,pso,hybrid algorithm,0
back-propagation neural networks; fuzzy neural network (fnn),back-propagation neural networks,fuzzy neural network (fnn),0
autonomous underwater vehicle; xml schema,autonomous underwater vehicle,xml schema,3
robotic manipulators; end effectors,robotic manipulators,end effectors,0
information retrieval technology; nlp,information retrieval technology,nlp,1
microservices; architecture types,microservices,architecture types,1
peer-to-peer network; p2p applications,peer-to-peer network,p2p applications,2
peer-to-peer technologies; structured p2p networks,peer-to-peer technologies,structured p2p networks,0
precoding; pre-coding,precoding,pre-coding,2
software design; software engineering,software design,software engineering,1
peer-to-peer technologies; p2p networks,peer-to-peer technologies,p2p networks,2
pso algorithm; swarm intelligence,pso algorithm,swarm intelligence,1
microstrip patch antennas; micro-strip patch antennas,microstrip patch antennas,micro-strip patch antennas,2
microelectromechanical systems; formal concept analysis (fca),microelectromechanical systems,formal concept analysis (fca),3
transition systems; transition system,transition systems,transition system,2
point spread function; graph transformation,point spread function,graph transformation,3
neural networks; cnn,neural networks,cnn,0
microservice architecture; software architecture patterns,microservice architecture,software architecture patterns,1
reasoning tasks; reasoner,reasoning tasks,reasoner,2
back-propagation; backpropagation algorithm,back-propagation,backpropagation algorithm,2
microservice architecture; architectural patterns,microservice architecture,architectural patterns,1
multi-agent system; deontic,multi-agent system,deontic,0
html pages; hypertext markup language,html pages,hypertext markup language,1
least squares support vector machine; least square support vector machines,least squares support vector machine,least square support vector machines,2
belief propagation; sliding mode observer,belief propagation,sliding mode observer,3
built-in self test; k-means clustering algorithm,built-in self test,k-means clustering algorithm,3
zig-bee; wsn,zig-bee,wsn,1
pcnn; back-propagation neural network,pcnn,back-propagation neural network,1
bayesian filtering; bayesian framework,bayesian filtering,bayesian framework,1
manet; manets,manet,manets,2
multi agent system; stochastic game,multi agent system,stochastic game,0
pso; particle swarms,pso,particle swarms,2
robots; autonomous underwater vehicles (auv),robots,autonomous underwater vehicles (auv),0
abstract interpretations; decision diagrams,abstract interpretations,decision diagrams,3
multipliers; grid resource,multipliers,grid resource,3
complex services; debuggers,complex services,debuggers,3
link prediction; supervised classification,link prediction,supervised classification,3
e-commerce; business models,e-commerce,business models,0
cae; computer aided engineering,cae,computer aided engineering,2
requirements models; uhf rfid,requirements models,uhf rfid,3
optical tomography; pi control,optical tomography,pi control,3
computer network; fiber optic networks,computer network,fiber optic networks,0
customer values; e-commerce,customer values,e-commerce,1
feedforward neural networks; neural network,feedforward neural networks,neural network,1
ip multicast; multicast protocol,ip multicast,multicast protocol,0
software architecture evaluation; alpsm,software architecture evaluation,alpsm,0
operating systems; multiprogramming,operating systems,multiprogramming,0
wsn; ranging errors,wsn,ranging errors,0
wireless sensor network (wsns); wireless sensor networks (wsns),wireless sensor network (wsns),wireless sensor networks (wsns),2
receive antennas; receive antenna,receive antennas,receive antenna,2
elearning; sharable content object reference model (scorm),elearning,sharable content object reference model (scorm),0
natural language processing; spoken language processing,natural language processing,spoken language processing,0
bioinformatics; biofeedback,bioinformatics,biofeedback,0
wsn; location information,wsn,location information,0
peer-to-peer networks; peer-to-peer application,peer-to-peer networks,peer-to-peer application,0
bayesian methods; probabilistic inference,bayesian methods,probabilistic inference,0
back-propagation neural network; machine-learning,back-propagation neural network,machine-learning,1
component-based software; software,component-based software,software,1
knowledge management; knowledge-based systems,knowledge management,knowledge-based systems,1
peer-to-peer; p2p networks,peer-to-peer,p2p networks,2
programmable logic controller; soc designs,programmable logic controller,soc designs,0
multiple antennas; service robots,multiple antennas,service robots,3
programmable logic controller; test application time,programmable logic controller,test application time,0
requirements specification; ontology mapping,requirements specification,ontology mapping,3
formal modeling; formal modelling,formal modeling,formal modelling,2
evolutionary approach; multiobjective optimisation,evolutionary approach,multiobjective optimisation,1
multi-objective optimisation; multiobjective models,multi-objective optimisation,multiobjective models,0
model checking; neuro-fuzzy system,model checking,neuro-fuzzy system,3
spoken language processing; natural language processing,spoken language processing,natural language processing,1
resource-constrained; wsn,resource-constrained,wsn,1
folksonomy; feature models,folksonomy,feature models,3
graph embedding; graph theory,graph embedding,graph theory,1
file systems; hardware-in-the-loop simulation,file systems,hardware-in-the-loop simulation,3
mobile sinks; wsn,mobile sinks,wsn,1
semantic description; location information,semantic description,location information,3
evolution of cooperation; spurious signal noise,evolution of cooperation,spurious signal noise,3
menage; architectural language,menage,architectural language,1
back-propagation neural network; learning vector quantization,back-propagation neural network,learning vector quantization,0
fuzzy expert system; fuzzy expert systems,fuzzy expert system,fuzzy expert systems,2
embedded systems; system on chip,embedded systems,system on chip,0
competitive ratio; graphical models,competitive ratio,graphical models,3
diversity gains; fading channels,diversity gains,fading channels,1
cnn; artificial neural network,cnn,artificial neural network,1
phylogenetic tree; uml 2.0,phylogenetic tree,uml 2.0,3
image registration; fitness functions,image registration,fitness functions,3
blockchain; peer to peer networks,blockchain,peer to peer networks,1
architectural strategies; business process,architectural strategies,business process,3
biomedical imaging; medical imaging,biomedical imaging,medical imaging,2
under-actuated systems; underactuated system,under-actuated systems,underactuated system,2
hypervolume; multipath channel,hypervolume,multipath channel,3
intelligent network; distributed parameter networks,intelligent network,distributed parameter networks,1
sensor; wireless sensors,sensor,wireless sensors,0
direct torque control; microstrip patch antenna,direct torque control,microstrip patch antenna,3
residue number system (rns); multi-input multi-output,residue number system (rns),multi-input multi-output,3
k-means clustering method; array geometries,k-means clustering method,array geometries,3
pid control; pi controller,pid control,pi controller,2
radial based function; multicast,radial based function,multicast,3
auto encoders; back-propagation neural network,auto encoders,back-propagation neural network,1
design projects; channel inversion,design projects,channel inversion,3
maximum entropy models; nlp,maximum entropy models,nlp,1
data warehouse; autonomous underwater vehicle,data warehouse,autonomous underwater vehicle,3
grammatical inferences; east-adl,grammatical inferences,east-adl,3
artificial neural network; gated recurrent unit,artificial neural network,gated recurrent unit,0
pso algorithm; opposition-based learning,pso algorithm,opposition-based learning,0
pid controllers; pi controller,pid controllers,pi controller,2
p2p network; file sharing,p2p network,file sharing,0
particle swarm optimization algorithms; exploration and exploitation,particle swarm optimization algorithms,exploration and exploitation,0
convolutional neural networks; back propagation neural networks,convolutional neural networks,back propagation neural networks,1
ultrasonic sensor; mobile robotics,ultrasonic sensor,mobile robotics,1
resource-constrained; intelligent networks,resource-constrained,intelligent networks,3
bayesian approaches; markov chain monte carlo algorithms,bayesian approaches,markov chain monte carlo algorithms,0
wireless body area networks; wsn,wireless body area networks,wsn,1
architecture activity; architecture verification and validation,architecture activity,architecture verification and validation,0
channel capacity; communication channels,channel capacity,communication channels,1
low resolution; energy markets,low resolution,energy markets,3
bayesian approach; deep belief networks,bayesian approach,deep belief networks,0
particle swarm algorithm; hybrid algorithms,particle swarm algorithm,hybrid algorithms,0
online privacy; e commerces,online privacy,e commerces,1
distributed parameter system; intra-cluster,distributed parameter system,intra-cluster,3
multiplexing; architecture knowledge management,multiplexing,architecture knowledge management,3
peer-to-peer system; peer to peer networks,peer-to-peer system,peer to peer networks,2
hybrid algorithm; particle swarms,hybrid algorithm,particle swarms,1
swarm intelligence; particle swarm,swarm intelligence,particle swarm,0
mmorpgs; device drivers,mmorpgs,device drivers,3
unified modeling language; uml,unified modeling language,uml,2
pki; mmorpg,pki,mmorpg,3
relative weights; videoconferencing,relative weights,videoconferencing,3
minimum mean square errors (mmse); fcm algorithm,minimum mean square errors (mmse),fcm algorithm,3
communication channels; multiple-input multiple-output,communication channels,multiple-input multiple-output,0
computer hardware; service components,computer hardware,service components,3
olap; data warehouses,olap,data warehouses,1
bayesian model; bayesian classifiers,bayesian model,bayesian classifiers,0
mutation operator; ccd sensors,mutation operator,ccd sensors,3
multi objective optimizations (moo); hybrid recommendation,multi objective optimizations (moo),hybrid recommendation,3
learning activities; conceptual design,learning activities,conceptual design,3
graphics processing units; graphic processing units,graphics processing units,graphic processing units,2
mimo systems; diversity gains,mimo systems,diversity gains,0
multicasts; multicast routing,multicasts,multicast routing,0
cbir; content-based image retrieval system,cbir,content-based image retrieval system,0
hybrid recommender systems; in-network data aggregation,hybrid recommender systems,in-network data aggregation,3
grid schedulers; graphical user interface,grid schedulers,graphical user interface,3
ccd sensors; sensor,ccd sensors,sensor,1
bayesian method; structure-learning,bayesian method,structure-learning,0
ontology creation; decision support system,ontology creation,decision support system,3
internet; p2p system,internet,p2p system,0
particle swarms; mutation operator,particle swarms,mutation operator,0
multi-wavelets; smart transportation,multi-wavelets,smart transportation,3
computer networks; wireless telecommunication systems,computer networks,wireless telecommunication systems,0
ultra-wideband; ultra wideband,ultra-wideband,ultra wideband,2
network-on-chips; networks-on-chip,network-on-chips,networks-on-chip,2
machine learnings; packet latencies,machine learnings,packet latencies,3
computer communication networks; peer to peer networks,computer communication networks,peer to peer networks,0
dwt; optical sensors,dwt,optical sensors,3
radar cross section (rcs); antenna,radar cross section (rcs),antenna,1
quality requirements; artificial potential field,quality requirements,artificial potential field,3
component-based software engineering; component based software engineering,component-based software engineering,component based software engineering,2
free space optical communication; video conferencing,free space optical communication,video conferencing,3
e - learnings; learning experiences,e - learnings,learning experiences,0
cooperative diversity; variational inference,cooperative diversity,variational inference,3
hierarchical system; hierarchical cluster analysis,hierarchical system,hierarchical cluster analysis,0
architecture technical debt; fuzzy c mean,architecture technical debt,fuzzy c mean,3
pso algorithms; binary particle swarm optimization,pso algorithms,binary particle swarm optimization,0
queuing networks; multichip modules,queuing networks,multichip modules,3
fuzzy clustering; autonomous vehicle,fuzzy clustering,autonomous vehicle,3
back-propagation neural network; recurrent neural network,back-propagation neural network,recurrent neural network,0
architecture viewpoints; software architecture,architecture viewpoints,software architecture,1
congestion control; bidding strategy,congestion control,bidding strategy,3
multipliers; analytic hierarchies,multipliers,analytic hierarchies,3
k-nearest neighbor classifier; k-nn algorithm,k-nearest neighbor classifier,k-nn algorithm,1
architecture types; transmitters,architecture types,transmitters,3
reversible logic; architecting,reversible logic,architecting,3
load-balanced; e commerces,load-balanced,e commerces,3
